image_name,target
ISIC_0052060,0.07344294
ISIC_0052349,0.035425954
ISIC_0058510,0.13621919
ISIC_0073313,0.063584186
ISIC_0073502,0.46208677
ISIC_0074618,0.2070444
ISIC_0076801,0.11045923
ISIC_0077586,0.855489
ISIC_0082004,0.45686576
ISIC_0082785,0.6176146
ISIC_0085332,0.023584463
ISIC_0087243,0.021682823
ISIC_0088167,0.18599153
ISIC_0089356,0.094678335
ISIC_0090283,0.39395496
ISIC_0092481,0.0684432
ISIC_0095455,0.24206297
ISIC_0095790,0.16272146
ISIC_0097719,0.41894597
ISIC_0099348,0.73037374
ISIC_0101040,0.1723105
ISIC_0101383,0.18776941
ISIC_0105104,0.45499521
ISIC_0108196,0.5136661
ISIC_0112420,0.7171887
ISIC_0114232,0.09256355
ISIC_0115798,0.14124258
ISIC_0116844,0.14456509
ISIC_0126432,0.010066765
ISIC_0131485,0.112025574
ISIC_0131912,0.17936623
ISIC_0131978,0.042127494
ISIC_0139322,0.65318716
ISIC_0142066,0.62937176
ISIC_0143109,0.3334657
ISIC_0148210,0.31875002
ISIC_0148937,0.14607784
ISIC_0150213,0.5145098
ISIC_0152553,0.04562048
ISIC_0153127,0.21531887
ISIC_0154289,0.13663588
ISIC_0155813,0.61554503
ISIC_0155983,0.87897426
ISIC_0157088,0.11153151
ISIC_0158761,0.09040978
ISIC_0161963,0.66722614
ISIC_0165178,0.7994503
ISIC_0165230,0.568167
ISIC_0165615,0.14198509
ISIC_0165617,0.25547737
ISIC_0165674,0.20295091
ISIC_0165928,0.105826646
ISIC_0166561,0.06347578
ISIC_0168125,0.06985236
ISIC_0169378,0.53339815
ISIC_0169575,0.118902735
ISIC_0169906,0.84768444
ISIC_0171865,0.3782965
ISIC_0172678,0.047425743
ISIC_0174800,0.12193087
ISIC_0175014,0.10830297
ISIC_0175798,0.6162409
ISIC_0176152,0.3476394
ISIC_0177083,0.15129091
ISIC_0178235,0.7594628
ISIC_0178258,0.18404226
ISIC_0178428,0.54224354
ISIC_0178741,0.4790868
ISIC_0180057,0.1553407
ISIC_0182213,0.8776987
ISIC_0183334,0.0772106
ISIC_0183449,0.92392397
ISIC_0183658,0.01783627
ISIC_0183771,0.0780846
ISIC_0186715,0.34040555
ISIC_0187786,0.14051951
ISIC_0188485,0.02041149
ISIC_0191895,0.8101179
ISIC_0192184,0.27547577
ISIC_0192807,0.02260866
ISIC_0193289,0.5099198
ISIC_0194115,0.04632114
ISIC_0195744,0.3226693
ISIC_0195995,0.090277374
ISIC_0196159,0.5303291
ISIC_0196622,0.07557418
ISIC_0196807,0.56073564
ISIC_0197182,0.23039305
ISIC_0197440,0.43026763
ISIC_0197860,0.41216308
ISIC_0198376,0.12605813
ISIC_0198622,0.057604954
ISIC_0199195,0.3565573
