image_name,target
ISIC_0052060,0.08258375
ISIC_0052349,0.09490593
ISIC_0058510,0.15578106
ISIC_0073313,0.126323
ISIC_0073502,0.32347396
ISIC_0074618,0.3853957
ISIC_0076801,0.23124294
ISIC_0077586,0.5700544
ISIC_0082004,0.49707472
ISIC_0082785,0.39286926
ISIC_0085332,0.109473795
ISIC_0087243,0.08370266
ISIC_0088167,0.26352328
ISIC_0089356,0.14510882
ISIC_0090283,0.6303007
ISIC_0092481,0.13611239
ISIC_0095455,0.17732361
ISIC_0095790,0.09220403
ISIC_0097719,0.45763037
ISIC_0099348,0.4756215
ISIC_0101040,0.37204456
ISIC_0101383,0.1810563
ISIC_0105104,0.349964
ISIC_0108196,0.26033533
ISIC_0112420,0.744525
ISIC_0114232,0.15182926
ISIC_0115798,0.29685006
ISIC_0116844,0.22206374
ISIC_0126432,0.06447325
ISIC_0131485,0.20874745
ISIC_0131912,0.12227537
ISIC_0131978,0.33140182
ISIC_0139322,0.4085737
ISIC_0142066,0.8497261
ISIC_0143109,0.36263233
ISIC_0148210,0.30934504
ISIC_0148937,0.19916223
ISIC_0150213,0.6920541
ISIC_0152553,0.06589608
ISIC_0153127,0.16581646
ISIC_0154289,0.4154045
ISIC_0155813,0.7840581
ISIC_0155983,0.96429884
ISIC_0157088,0.23588184
ISIC_0158761,0.14535192
ISIC_0161963,0.63186777
ISIC_0165178,0.7334124
ISIC_0165230,0.6385795
ISIC_0165615,0.14270972
ISIC_0165617,0.103635445
ISIC_0165674,0.1299787
ISIC_0165928,0.16220057
ISIC_0166561,0.12092233
ISIC_0168125,0.17918882
ISIC_0169378,0.7049867
ISIC_0169575,0.13235693
ISIC_0169906,0.8510521
ISIC_0171865,0.343721
ISIC_0172678,0.09995036
ISIC_0174800,0.22131625
ISIC_0175014,0.105104744
ISIC_0175798,0.7056715
ISIC_0176152,0.15202926
ISIC_0177083,0.10460168
ISIC_0178235,0.71985036
ISIC_0178258,0.29648185
ISIC_0178428,0.65623236
ISIC_0178741,0.71405923
ISIC_0180057,0.2956171
ISIC_0182213,0.883986
ISIC_0183334,0.08214376
ISIC_0183449,0.8934376
ISIC_0183658,0.064668454
ISIC_0183771,0.15381098
